step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,33,1,0.019564222868903015,1.0,1.0,0.010999091188035284,1.0,1.0,,,,,,
2,58,2,0.021091135023307287,1.0,1.0,,,,,,,,,
3,83,3,0.012674119169278127,1.0,1.0,,,,,,,,,
4,108,4,0.023598990577544707,1.0,1.0,,,,,,,,,
5,133,5,0.017056123637421476,1.0,1.0,,,,,,,,,
6,158,6,0.009973726927758737,1.0,1.0,,,,,,,,,
7,183,7,0.01197286638149914,1.0,1.0,,,,,,,,,
8,200,8,0.013669651176169282,1.0,1.0,,,,,,,,,
9,225,9,0.012659035167065059,1.0,1.0,0.18779507658764485,0.0,0.0,,,,,,
10,250,10,0.010517989372716936,1.0,1.0,,,,,,,,,
11,267,11,0.014219979577064805,1.0,1.0,,,,,,,,,
12,300,12,0.011530070912176598,1.0,1.0,,,,,,,,,
13,325,13,0.009523927671223948,1.0,1.0,,,,,,,,,
14,358,14,0.023137585996082635,1.0,1.0,,,,,,,,,
15,383,15,0.009844497198200769,1.0,1.0,,,,,,,,,
16,400,16,0.010999830386408576,1.0,1.0,,,,,,,,,
17,433,17,0.01500893264203228,1.0,1.0,0.010800939832181486,1.0,1.0,,,,,,
18,458,18,0.016763592880511928,1.0,1.0,,,,,,,,,
19,483,19,0.5515236589960355,0.0,0.0,,,,,,,,,
20,508,20,0.016608328459842593,1.0,1.0,,,,,,,,,
21,533,21,0.02486360930285931,1.0,1.0,,,,,,,,,
22,558,22,0.34211850211497224,0.0,0.0,,,,,,,,,
23,583,23,0.017798606512078548,1.0,1.0,,,,,,,,,
24,600,24,0.012006180288972245,1.0,1.0,,,,,,,,,
25,625,25,0.012561343002538099,1.0,1.0,0.10392701695367579,0.0,0.0,,,,,,
26,666,26,0.032927915161708364,0.0,0.0,,,,,,,,,
27,691,27,0.013668879409766911,1.0,1.0,,,,,,,,,
28,708,28,0.019161324507876998,1.0,1.0,,,,,,,,,
29,725,29,0.014102877937766607,1.0,1.0,,,,,,,,,
30,806,30,0.023792781990603546,1.0,1.0,,,,,,,,,
31,847,31,0.015636860257909575,1.0,1.0,,,,,,,,,
32,872,32,0.00969967252293524,1.0,1.0,,,,,,,,,
33,897,33,0.016728715987701433,1.0,1.0,0.01722257865956635,1.0,1.0,,,,,,
34,922,34,0.013783134648062212,1.0,1.0,,,,,,,,,
35,947,35,0.024688603356771636,1.0,1.0,,,,,,,,,
36,980,36,0.017897773955774028,1.0,1.0,,,,,,,,,
37,997,37,0.008665032275312115,1.0,1.0,,,,,,,,,
38,1022,38,0.022259633490005704,1.0,1.0,,,,,,,,,
39,1055,39,0.014154402697897698,1.0,1.0,,,,,,,,,
40,1080,40,0.013411602364406765,1.0,1.0,,,,,,,,,
41,1105,41,0.0175992412824174,1.0,1.0,0.011417075362211712,1.0,1.0,,,,,,
42,1138,42,0.018778050682085448,1.0,1.0,,,,,,,,,
43,1171,43,0.0166385473686023,1.0,1.0,,,,,,,,,
44,1196,44,0.016682898823564756,1.0,1.0,,,,,,,,,
45,1229,45,0.01461080466160638,1.0,1.0,,,,,,,,,
46,1254,46,0.012995336210697131,1.0,1.0,,,,,,,,,
47,1287,47,0.00810349788412168,1.0,1.0,,,,0.6666666865348816,1.0,0.5,0.84375,0.9396983225108225,0.6666666666666666
48,1312,48,0.016525623765352673,1.0,1.0,,,,,,,,,
49,1345,49,0.011298415005220476,1.0,1.0,0.018755167689099225,1.0,1.0,,,,,,
50,1370,50,0.011364630156798132,1.0,1.0,,,,,,,,,
51,1387,51,0.012732516414762357,1.0,1.0,,,,,,,,,
52,1412,52,0.018296790374021536,1.0,1.0,,,,,,,,,
53,1429,53,0.007862345915614242,1.0,1.0,,,,,,,,,
54,1454,54,0.005274671962073018,1.0,1.0,,,,,,,,,
55,1487,55,0.02951781984551417,1.0,1.0,,,,,,,,,
56,1568,56,0.022787442578992345,1.0,1.0,,,,,,,,,
57,1585,57,0.003975028785844189,1.0,1.0,0.00784055402687045,1.0,1.0,,,,,,
58,1610,58,0.013972989015589217,1.0,1.0,,,,,,,,,
59,1643,59,0.011792385831234924,1.0,1.0,,,,,,,,,
60,1668,60,0.008063668256654638,1.0,1.0,,,,,,,,,
61,1693,61,0.014103996492534257,1.0,1.0,,,,,,,,,
62,1726,62,0.013896717067364079,1.0,1.0,,,,,,,,,
63,1743,63,0.00948194177361188,1.0,1.0,,,,,,,,,
64,1760,64,0.006888319857939677,1.0,1.0,,,,,,,,,
65,1801,65,0.0141176571127362,1.0,1.0,0.019370246574720418,1.0,1.0,,,,,,
66,1826,66,0.011039669045918951,1.0,1.0,,,,,,,,,
67,1851,67,0.013010346717552846,1.0,1.0,,,,,,,,,
68,1868,68,0.008424098904506535,1.0,1.0,,,,,,,,,
69,1893,69,0.010464193134342471,1.0,1.0,,,,,,,,,
70,1918,70,0.007801835006484907,1.0,1.0,,,,,,,,,
71,1943,71,0.02078503449063646,1.0,1.0,,,,,,,,,
72,1968,72,0.00672651403281634,1.0,1.0,,,,,,,,,
73,1993,73,0.006672011475732991,1.0,1.0,0.02326590569486143,1.0,1.0,,,,,,
74,2018,74,0.01305791460904705,1.0,1.0,,,,,,,,,
75,2043,75,0.017238269786491095,1.0,1.0,,,,,,,,,
76,2068,76,0.013493244646621558,1.0,1.0,,,,,,,,,
77,2085,77,0.006767201385591761,1.0,1.0,,,,,,,,,
78,2118,78,0.06607453219507078,0.0,0.0,,,,,,,,,
79,2143,79,0.005948334864445617,1.0,1.0,,,,,,,,,
80,2176,80,0.013544733115101053,1.0,1.0,,,,,,,,,
81,2201,81,0.015454190993865871,1.0,1.0,0.010033858380115817,1.0,1.0,,,,,,
82,2226,82,0.00955341210613066,1.0,1.0,,,,,,,,,
83,2251,83,0.012186758891660552,1.0,1.0,,,,,,,,,
84,2276,84,0.006148772850380434,1.0,1.0,,,,,,,,,
85,2309,85,0.01238750044324206,1.0,1.0,,,,,,,,,
86,2334,86,0.005708139267990191,1.0,1.0,,,,,,,,,
87,2367,87,0.01111112798735121,1.0,1.0,,,,,,,,,
88,2392,88,0.010395129785611062,1.0,1.0,,,,,,,,,
89,2433,89,0.01289723129213303,1.0,1.0,0.01953872527379038,1.0,1.0,,,,,,
90,2458,90,0.018493365298879023,1.0,1.0,,,,,,,,,
91,2491,91,0.009513848734282532,1.0,1.0,,,,,,,,,
92,2516,92,0.009740509082360706,1.0,1.0,,,,0.75,1.0,0.625,0.96875,0.9852430555555556,0.7692307692307693
