step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
93,2541,93,0.0038717769158029118,1.0,1.0,,,,,,,,,
94,2566,94,0.008031434010590602,1.0,1.0,,,,,,,,,
95,2591,95,0.0025642239840260573,1.0,1.0,,,,,,,,,
96,2616,96,0.007446080231845068,1.0,1.0,,,,,,,,,
97,2649,97,0.009488686346456578,1.0,1.0,0.006812757784500718,1.0,1.0,,,,,,
98,2674,98,0.0027153263599211646,1.0,1.0,,,,,,,,,
99,2691,99,0.005168147655222129,1.0,1.0,,,,,,,,,
100,2716,100,0.007812805219606768,1.0,1.0,,,,,,,,,
101,2741,101,0.006697292206457252,1.0,1.0,,,,,,,,,
102,2758,102,0.003202378276255331,1.0,1.0,,,,,,,,,
103,2791,103,0.007434728557377301,1.0,1.0,,,,,,,,,
104,2832,104,0.010138121356859073,1.0,1.0,,,,,,,,,
105,2857,105,0.013007899821322912,1.0,1.0,0.017558323815983955,1.0,1.0,,,,,,
106,2882,106,0.013361025228223296,1.0,1.0,,,,,,,,,
107,2899,107,0.005672552436217302,1.0,1.0,,,,,,,,,
108,2924,108,0.0077684674887511075,1.0,1.0,,,,,,,,,
109,2949,109,0.009765021589868184,1.0,1.0,,,,,,,,,
110,2990,110,0.01133487785146281,1.0,1.0,,,,,,,,,
111,3015,111,0.009179041701128932,1.0,1.0,,,,,,,,,
112,3040,112,0.006786824782158855,1.0,1.0,,,,,,,,,
113,3065,113,0.008321428526447409,1.0,1.0,0.011173528042998745,1.0,1.0,,,,,,
114,3082,114,0.007221136022671999,1.0,1.0,,,,,,,,,
115,3107,115,0.0062038486477038884,1.0,1.0,,,,,,,,,
116,3132,116,0.002095458829526251,1.0,1.0,,,,,,,,,
117,3157,117,0.00893462358530087,1.0,1.0,,,,,,,,,
118,3190,118,0.0135302695781661,1.0,1.0,,,,,,,,,
119,3271,119,0.02316835797374188,1.0,1.0,,,,,,,,,
120,3288,120,0.003485962516544987,1.0,1.0,,,,,,,,,
121,3321,121,0.010276893927323626,1.0,1.0,0.0073962372009737,1.0,1.0,,,,,,
122,3346,122,0.01382469004046584,1.0,1.0,,,,,,,,,
123,3363,123,0.0009704445743562929,1.0,1.0,,,,,,,,,
124,3388,124,0.003035749436946086,1.0,1.0,,,,,,,,,
125,3421,125,0.006316038658243581,1.0,1.0,,,,,,,,,
126,3446,126,0.0031668547248504333,1.0,1.0,,,,,,,,,
127,3471,127,0.010998716996081133,1.0,1.0,,,,,,,,,
128,3488,128,0.0043718382616722805,1.0,1.0,,,,,,,,,
129,3521,129,0.012681061600945327,1.0,1.0,0.014718448962327478,1.0,1.0,,,,,,
130,3546,130,0.00472224946831678,1.0,1.0,,,,,,,,,
131,3571,131,0.006140340455522164,1.0,1.0,,,,,,,,,
132,3604,132,0.004689374837416835,1.0,1.0,,,,,,,,,
133,3629,133,0.005321239929652108,1.0,1.0,,,,,,,,,
134,3662,134,0.009258161417389187,1.0,1.0,,,,,,,,,
135,3687,135,0.007422364069725422,1.0,1.0,,,,,,,,,
136,3712,136,0.0035824708971248734,1.0,1.0,,,,,,,,,
137,3737,137,0.006018541008346573,1.0,1.0,0.008254523516823157,1.0,1.0,,,,,,
138,3770,138,0.005696325896830246,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
139,3795,139,0.0047243049752742645,1.0,1.0,,,,,,,,,
140,3828,140,0.008271612511208826,1.0,1.0,,,,,,,,,
141,3853,141,0.008278627804018394,1.0,1.0,,,,,,,,,
142,3878,142,0.007225271312328967,1.0,1.0,,,,,,,,,
143,3903,143,0.004612930048413849,1.0,1.0,,,,,,,,,
144,3928,144,0.0044544929229107305,1.0,1.0,,,,,,,,,
145,3945,145,0.00429392306092268,1.0,1.0,0.024519218408352684,1.0,1.0,,,,,,
146,3962,146,0.0022338976092760275,1.0,1.0,,,,,,,,,
147,4043,147,0.017546748876670792,1.0,1.0,,,,,,,,,
148,4076,148,0.005623901899159858,1.0,1.0,,,,,,,,,
149,4101,149,0.0031439387897709515,1.0,1.0,,,,,,,,,
150,4118,150,0.006046142178215632,1.0,1.0,,,,,,,,,
151,4143,151,0.008591179583693556,1.0,1.0,,,,,,,,,
152,4168,152,0.0023260357682798665,1.0,1.0,,,,,,,,,
153,4193,153,0.0031811737546990075,1.0,1.0,0.032168931739967474,1.0,1.0,,,,,,
154,4226,154,0.006018903085984828,1.0,1.0,,,,,,,,,
155,4251,155,0.0015380792987571114,1.0,1.0,,,,,,,,,
156,4276,156,0.001311442366080655,1.0,1.0,,,,,,,,,
157,4301,157,0.0052075274009725555,1.0,1.0,,,,,,,,,
158,4326,158,0.005749309922610639,1.0,1.0,,,,,,,,,
159,4351,159,0.005519615302352274,1.0,1.0,,,,,,,,,
160,4376,160,0.0038453582590511817,1.0,1.0,,,,,,,,,
161,4417,161,0.00827147372494683,1.0,1.0,0.01930851411854595,1.0,1.0,,,,,,
162,4442,162,0.0036588661125563247,1.0,1.0,,,,,,,,,
163,4459,163,0.0017474111243403457,1.0,1.0,,,,,,,,,
164,4484,164,0.003182900589326891,1.0,1.0,,,,,,,,,
165,4501,165,0.002467081440141783,1.0,1.0,,,,,,,,,
166,4526,166,0.007785580304127867,1.0,1.0,,,,,,,,,
167,4559,167,0.006371170758098969,1.0,1.0,,,,,,,,,
168,4584,168,0.005949707449279343,1.0,1.0,,,,,,,,,
169,4617,169,0.008060969910627592,1.0,1.0,0.02173567693316992,1.0,1.0,,,,,,
170,4650,170,0.0040517313189243785,1.0,1.0,,,,,,,,,
171,4667,171,0.002163081787272176,1.0,1.0,,,,,,,,,
172,4692,172,0.00973069665810307,1.0,1.0,,,,,,,,,
173,4717,173,0.004795013414779229,1.0,1.0,,,,,,,,,
174,4742,174,0.0014565669005885931,1.0,1.0,,,,,,,,,
175,4775,175,0.005483140402434898,1.0,1.0,,,,,,,,,
176,4808,176,0.0034153204598010235,1.0,1.0,,,,,,,,,
177,4833,177,0.004890876781415727,1.0,1.0,0.01749823973334666,1.0,1.0,,,,,,
178,4858,178,0.0035254249151148538,1.0,1.0,,,,,,,,,
179,4899,179,0.007948586133642493,1.0,1.0,,,,,,,,,
180,4916,180,0.000618844552639608,1.0,1.0,,,,,,,,,
181,4941,181,0.0023255439454915932,1.0,1.0,,,,,,,,,
182,4974,182,0.006585351107341051,1.0,1.0,,,,,,,,,
183,5007,183,0.0045535091981022905,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
184,5032,184,0.0017663578651812865,1.0,1.0,,,,,,,,,
185,5049,185,0.0006003023347176039,1.0,1.0,0.012063477526245758,1.0,1.0,,,,,,
186,5074,186,0.0023902235947506744,1.0,1.0,,,,,,,,,
187,5099,187,0.001009176785278149,1.0,1.0,,,,,,,,,
188,5140,188,0.005371708741815113,1.0,1.0,,,,,,,,,
189,5165,189,0.002282304451010759,1.0,1.0,,,,,,,,,
190,5190,190,0.0035321398639578897,1.0,1.0,,,,,,,,,
191,5207,191,0.0015775998530624237,1.0,1.0,,,,,,,,,
192,5232,192,0.0036701588964444904,1.0,1.0,,,,,,,,,
193,5257,193,0.0036655691197108806,1.0,1.0,0.003223957980162595,1.0,1.0,,,,,,
194,5282,194,0.006731154612706406,1.0,1.0,,,,,,,,,
195,5307,195,0.006434056760206582,1.0,1.0,,,,,,,,,
196,5332,196,0.004637098408686977,1.0,1.0,,,,,,,,,
197,5373,197,0.007345211526177992,1.0,1.0,,,,,,,,,
198,5398,198,0.0026613708588709767,1.0,1.0,,,,,,,,,
199,5423,199,0.004890566042713544,1.0,1.0,,,,,,,,,
200,5448,200,0.0011627855389378773,1.0,1.0,,,,,,,,,
201,5465,201,0.0031847082820218022,1.0,1.0,0.011615947932387106,1.0,1.0,,,,,,
202,5498,202,0.005543267618917298,1.0,1.0,,,,,,,,,
203,5523,203,0.004223416856402764,1.0,1.0,,,,,,,,,
204,5556,204,0.00702949324894945,1.0,1.0,,,,,,,,,
205,5581,205,0.008341815312910866,1.0,1.0,,,,,,,,,
206,5614,206,0.003998003843701952,1.0,1.0,,,,,,,,,
207,5639,207,0.003984199624224705,1.0,1.0,,,,,,,,,
208,5664,208,0.0013981582611941688,1.0,1.0,,,,,,,,,
209,5689,209,0.003797478415400898,1.0,1.0,0.017649813691612053,1.0,1.0,,,,,,
210,5706,210,0.001695514848216817,1.0,1.0,,,,,,,,,
211,5731,211,0.0012701814094587386,1.0,1.0,,,,,,,,,
212,5748,212,0.0020846113017432798,1.0,1.0,,,,,,,,,
213,5765,213,0.001203272052660509,1.0,1.0,,,,,,,,,
214,5790,214,0.0011748931570624184,1.0,1.0,,,,,,,,,
215,5807,215,0.001862217487066573,1.0,1.0,,,,,,,,,
216,5832,216,0.004163312680119588,1.0,1.0,,,,,,,,,
217,5913,217,0.014294272939210715,1.0,1.0,0.007489686842782247,1.0,1.0,,,,,,
218,5938,218,0.003754669802452781,1.0,1.0,,,,,,,,,
219,5971,219,0.003203447852488353,1.0,1.0,,,,,,,,,
220,6004,220,0.004755768311839273,1.0,1.0,,,,,,,,,
221,6029,221,0.002521536481471382,1.0,1.0,,,,,,,,,
222,6062,222,0.0022383380128090206,1.0,1.0,,,,,,,,,
223,6095,223,0.004644282470286765,1.0,1.0,,,,,,,,,
224,6120,224,0.004109647606341298,1.0,1.0,,,,,,,,,
225,6145,225,0.003153329643678617,1.0,1.0,0.019088122470833087,1.0,1.0,,,,,,
226,6170,226,0.006186021871177373,1.0,1.0,,,,,,,,,
227,6195,227,0.003477478647093335,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0

