step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
88,2448,88,0.019748151640960714,1.0,1.0,,,,,,,,,
89,2465,89,0.015053939884528517,1.0,1.0,0.15468842650967418,0.0,0.0,,,,,,
90,2482,90,0.021261610179790297,1.0,1.0,,,,,,,,,
91,2507,91,0.018535950005752963,1.0,1.0,,,,,,,,,
92,2532,92,0.016058359272040735,1.0,1.0,,,,,,,,,
93,2557,93,0.023718802363340123,1.0,1.0,,,,,,,,,
94,2574,94,0.030301175942877304,1.0,1.0,,,,,,,,,
95,2599,95,0.018938552238202344,1.0,1.0,,,,,,,,,
96,2624,96,0.027116129018055896,1.0,1.0,,,,,,,,,
97,2649,97,0.028300870878156276,1.0,1.0,0.023704730750566037,1.0,1.0,,,,,,
98,2666,98,0.015510094797064085,1.0,1.0,,,,,,,,,
99,2691,99,0.01935443589502635,1.0,1.0,,,,,,,,,
100,2716,100,0.011811820902948966,1.0,1.0,,,,,,,,,
101,2749,101,0.01836683613626519,1.0,1.0,,,,,,,,,
102,2774,102,0.019659801891248205,1.0,1.0,,,,,,,,,
103,2799,103,0.02247688047005795,1.0,1.0,,,,,,,,,
104,2824,104,0.012814699607066967,1.0,1.0,,,,,,,,,
105,2841,105,0.01608141822900507,1.0,1.0,0.010991403686542375,1.0,1.0,,,,,,
106,2866,106,0.012982548965179983,1.0,1.0,,,,,,,,,
107,2947,107,0.058592427140101794,0.0,0.0,,,,,,,,,
108,2972,108,0.1420666008997553,0.0,0.0,,,,,,,,,
109,2997,109,0.010787096416412775,1.0,1.0,,,,,,,,,
110,3022,110,0.019351238697369502,1.0,1.0,,,,,,,,,
111,3047,111,0.016945126179222524,1.0,1.0,,,,,,,,,
112,3080,112,0.02462950663553784,1.0,1.0,,,,,,,,,
113,3113,113,0.024065704218846802,1.0,1.0,0.012568701485943166,1.0,1.0,,,,,,
114,3146,114,0.014221074246861462,1.0,1.0,,,,,,,,,
115,3163,115,0.018424510106269734,1.0,1.0,,,,,,,,,
116,3188,116,0.01898866052943049,1.0,1.0,,,,,,,,,
117,3221,117,0.02076741788991967,1.0,1.0,,,,,,,,,
118,3246,118,0.12595830252326173,0.0,0.0,,,,,,,,,
119,3271,119,0.017130936197160433,1.0,1.0,,,,,,,,,
120,3312,120,0.017408911613631062,1.0,1.0,,,,,,,,,
121,3329,121,0.016072147249578846,1.0,1.0,0.03720232017338276,1.0,1.0,,,,,,
122,3354,122,0.01686749181904209,1.0,1.0,,,,,,,,,
123,3379,123,0.014122983983023309,1.0,1.0,,,,,,,,,
124,3404,124,0.01967733532403751,1.0,1.0,,,,0.9090909361839294,1.0,0.8571428571428571,0.9642857142857143,0.9808673469387755,0.923076923076923
125,3429,125,0.013375126491579674,1.0,1.0,,,,,,,,,
126,3454,126,0.015069680071998543,1.0,1.0,,,,,,,,,
127,3479,127,0.016317195442388764,1.0,1.0,,,,,,,,,
128,3504,128,0.023805427549086742,1.0,1.0,,,,,,,,,
129,3529,129,0.025707147012047547,1.0,1.0,0.014612245685129893,1.0,1.0,,,,,,
130,3554,130,0.018490507371995285,1.0,1.0,,,,,,,,,
131,3579,131,0.018886518368866137,1.0,1.0,,,,,,,,,
132,3604,132,0.01589052908732507,1.0,1.0,,,,,,,,,
133,3637,133,0.01939158023473283,1.0,1.0,,,,,,,,,
134,3662,134,0.018307543497454996,1.0,1.0,,,,,,,,,
135,3695,135,0.01330063501258337,1.0,1.0,,,,,,,,,
136,3720,136,0.017977985501735627,1.0,1.0,,,,,,,,,
137,3753,137,0.020170160534034948,1.0,1.0,0.02014216249264185,1.0,1.0,,,,,,
138,3786,138,0.019970582511123214,1.0,1.0,,,,,,,,,
139,3819,139,0.01815252360742306,1.0,1.0,,,,,,,,,
140,3836,140,0.013031275253451895,1.0,1.0,,,,,,,,,
141,3853,141,0.016491724709921985,1.0,1.0,,,,,,,,,
142,3878,142,0.016543508693624365,1.0,1.0,,,,,,,,,
143,3903,143,0.011415991365444519,1.0,1.0,,,,,,,,,
144,3928,144,0.011521430058831661,1.0,1.0,,,,,,,,,
145,3961,145,0.016568699370909597,1.0,1.0,0.01297454600096292,1.0,1.0,,,,,,
146,3986,146,0.0133406450060041,1.0,1.0,,,,,,,,,
147,4067,147,0.023618693180498668,1.0,1.0,,,,,,,,,
148,4092,148,0.017225597257953876,1.0,1.0,,,,,,,,,
149,4117,149,0.024893146055401303,1.0,1.0,,,,,,,,,
150,4134,150,0.01471205127628309,1.0,1.0,,,,,,,,,
151,4159,151,0.011378218527997886,1.0,1.0,,,,,,,,,
152,4192,152,0.022273945882625414,1.0,1.0,,,,,,,,,
153,4217,153,0.023742465527272244,1.0,1.0,0.01324894015759734,1.0,1.0,,,,,,
154,4234,154,0.01666529300840921,1.0,1.0,,,,,,,,,
155,4267,155,0.01754264142393367,1.0,1.0,,,,,,,,,
156,4284,156,0.010036279971463955,1.0,1.0,,,,,,,,,
157,4309,157,0.024925270820385776,1.0,1.0,,,,,,,,,
158,4334,158,0.009858848562762432,1.0,1.0,,,,,,,,,
159,4375,159,0.014878317379625514,1.0,1.0,,,,,,,,,
160,4416,160,0.016659850186595576,1.0,1.0,,,,,,,,,
161,4441,161,0.017477391648232393,1.0,1.0,0.022879413899293773,1.0,1.0,,,,,,
162,4458,162,0.013974165985810031,1.0,1.0,,,,,,,,,
163,4483,163,0.022499585236364507,1.0,1.0,,,,,,,,,
164,4508,164,0.012403140447501453,1.0,1.0,,,,0.9090909361839294,1.0,0.8571428571428571,0.9642857142857143,0.9808673469387755,0.923076923076923
165,4533,165,0.01286036361164103,1.0,1.0,,,,,,,,,
166,4550,166,0.015561069839459379,1.0,1.0,,,,,,,,,
167,4631,167,0.023153545830049554,1.0,1.0,,,,,,,,,
168,4664,168,0.01968013412842993,1.0,1.0,,,,,,,,,
169,4689,169,0.010990452365222152,1.0,1.0,0.01714879081291656,1.0,1.0,,,,,,
170,4714,170,0.01689301075268304,1.0,1.0,,,,,,,,,
171,4739,171,0.012073423249918657,1.0,1.0,,,,,,,,,
172,4764,172,0.023982211441907562,1.0,1.0,,,,,,,,,
173,4789,173,0.014633681403987188,1.0,1.0,,,,,,,,,
174,4814,174,0.01686829686484998,1.0,1.0,,,,,,,,,
175,4839,175,0.014181170329296342,1.0,1.0,,,,,,,,,
176,4864,176,0.009500004126887993,1.0,1.0,,,,,,,,,
177,4889,177,0.011006590344015119,1.0,1.0,0.013179272952280977,1.0,1.0,,,,,,
178,4922,178,0.012280450766093054,1.0,1.0,,,,,,,,,
179,4955,179,0.018371748112294882,1.0,1.0,,,,,,,,,
